name,id,class_2,class_1
Java,100101,后端开发,技术
C++,100102,后端开发,技术
PHP,100103,后端开发,技术
数据挖掘,100104,后端开发,技术
C,100105,后端开发,技术
C#,100106,后端开发,技术
.NET,100107,后端开发,技术
Hadoop,100108,后端开发,技术
Python,100109,后端开发,技术
Delphi,100110,后端开发,技术
VB,100111,后端开发,技术
Perl,100112,后端开发,技术
Ruby,100113,后端开发,技术
Node.js,100114,后端开发,技术
搜索算法,100115,后端开发,技术
Golang,100116,后端开发,技术
自然语言处理,100117,后端开发,技术
推荐算法,100118,后端开发,技术
Erlang,100119,后端开发,技术
算法工程师,100120,后端开发,技术
语音/视频/图形开发,100121,后端开发,技术
数据采集,100122,后端开发,技术
HTML5,100201,移动开发,技术
Android,100202,移动开发,技术
iOS,100203,移动开发,技术
WP,100204,移动开发,技术
web前端,100205,移动开发,技术
Flash,100206,移动开发,技术
JavaScript,100208,移动开发,技术
U3D,100209,移动开发,技术
COCOS2DX,100210,移动开发,技术
测试工程师,100301,测试,技术
自动化测试,100302,测试,技术
功能测试,100303,测试,技术
性能测试,100304,测试,技术
测试开发,100305,测试,技术
移动端测试,100306,测试,技术
游戏测试,100307,测试,技术
硬件测试,100308,测试,技术
软件测试,100309,测试,技术
运维工程师,100401,运维/技术支持,技术
运维开发工程师,100402,运维/技术支持,技术
网络工程师,100403,运维/技术支持,技术
系统工程师,100404,运维/技术支持,技术
IT技术支持,100405,运维/技术支持,技术
系统管理员,100406,运维/技术支持,技术
网络安全,100407,运维/技术支持,技术
系统安全,100408,运维/技术支持,技术
DBA,100409,运维/技术支持,技术
ETF工程师,100506,数据,技术
数据仓库,100507,数据,技术
数据开发,100508,数据,技术
数据挖掘,100509,数据,技术
数据分析师,100511,数据,技术
数据架构师,100512,数据,技术
算法研究员,100513,数据,技术
项目经理,100601,项目管理,技术
项目主管,100602,项目管理,技术
项目助理,100603,项目管理,技术
项目专员,100604,项目管理,技术
实施顾问,100605,项目管理,技术
实施工程师,100606,项目管理,技术
需求分析工程师,100607,项目管理,技术
硬件,100801,硬件开发,技术
嵌入式,100802,硬件开发,技术
自动化,100803,硬件开发,技术
单片机,100804,硬件开发,技术
电路设计,100805,硬件开发,技术
驱动开发,100806,硬件开发,技术
